55	Adam_Milne	100	523	20452	11.25	0	5	8	805
54	Tom_Latham	81	52	20452	20.1	88	85	81	102
53	Mitchel_Satner	2	203	20452	15.2	98	97	91	300
52	Kane_Wiliamson	180	5	20452	9.14	100	96	58	236
51	Daryl_Mitchell	10	125	20452	28.6	25	29	54	152
50	Lokie_Ferguson	16	700	15008	36.25	21	22	45	605
49	Matt_Henry	88	108	15008	32.5	4	10	55	125
48	Finn_Alen	89	355	15008	47.3	8	7	14	205
47	Devon_Conway	76	305	15008	45.2	10	12	20	255
46	Tim_Southe	67	175	15008	42.5	3	12	25	0
45	Glen_Phillips	24	251	12552	54.3	2	2	5	10
44	Harry_Brook	90	523	12552	11.25	0	5	8	805
43	Ben_Foakes	87	52	12552	20.1	88	85	81	102
42	Liam_Livington	24	203	12552	15.2	98	97	91	300
41	Keaton_Jenning	79	180	12552	9.14	100	96	58	236
40	Ben_Stokes	87	125	10821	28.6	25	29	54	152
39	Jack_Leach	26	700	10821	36.25	21	22	45	605
38	Mark_Wood	43	108	10821	32.5	4	10	55	125
37	Ben_Duckett	77	355	10821	47.3	8	7	14	205
36	James_Anderson	55	305	7215	45.2	10	12	20	255
35	Ollie_Pope	34	175	7215	42.5	3	12	25	0
34	Joe_Root	2	251	7215	54.3	2	2	5	10
33	asli	1	2	7215	2	3	2	3	2
32	travis	87	52	3201	20.1	88	85	81	102
31	marcus	24	203	3201	15.2	98	97	91	300
30	alex	79	180	3201	9.14	100	96	58	236
29	nathan	87	125	3201	28.6	25	29	54	152
28	finch	26	700	2552	36.25	21	22	45	605
27	mitchell	43	108	2552	32.5	4	10	55	125
26	david_warner	77	355	2552	47.3	8	7	14	205
25	marnus	55	305	2552	45.2	10	12	20	255
24	cameron	1	2	2552	2	1	21	2	1
23	smith	43	45	2015	4	5	3	5	1
22	Umra_Malik	55	523	2015	11.25	0	5	8	805
21	Mohammed_Siraj	44	52	2015	20.1	88	85	81	102
20	Kuldeep_Yadav	10	203	2015	15.2	98	97	91	300
19	Shardul_Thakur	99	180	2015	9.14	100	96	58	236
18	Axar_Patel	77	125	1521	28.6	25	29	54	152
17	Washing_Sundar	18	700	1521	36.25	21	22	45	605
16	KL_Rahul	94	108	1521	32.5	4	10	55	125
15	Shreyas_Iyer	17	355	1521	47.3	8	7	14	205
14	Virat_Kohli	98	305	1521	45.2	10	12	20	255
13	Ishan_Kishan	14	175	852	42.5	3	12	25	0
12	Shikhar_Dhawan	23	251	852	54.3	2	2	5	10
11	Shoaib_Akhtar	23	523	852	11.25	0	5	8	805
10	M_Waseem	11	52	852	20.1	88	85	81	102
9	Shaheen_Afridi	9	203	852	15.2	98	97	91	300
8	Haris_Rauf	20	180	802	9.14	100	96	58	236
7	Muhmd_Nawaz	26	125	802	28.6	25	29	54	152
6	Shahid_Afridi	33	700	802	36.25	21	22	45	605
5	Shadab_Khan	13	108	802	32.5	4	10	55	125
4	Shoaib_Malik	92	355	802	47.3	8	7	14	205
3	M_Hafeez	55	305	3	45.2	10	12	20	255
2	M_Rizwan	18	175	3	42.5	3	12	25	0
1	Baber_Azam	12	251	1	54.3	2	2	5	10
